DATE,TIME,MHz,CPU_0,CPU_1,CPU_2,CPU_3,LOAD%,GPU
05/13/18,12:45:25,3984.00,62,59,64,60,4.0,55
05/13/18,12:45:26,3984.00,61,80,60,62,3.2,55
05/13/18,12:45:27,3984.00,62,63,62,82,3.7,56
05/13/18,12:45:28,3984.00,57,56,57,58,1.9,56
05/13/18,12:45:29,3984.00,56,57,57,57,1.2,56
05/13/18,12:45:30,3984.00,56,55,57,56,1.3,56
05/13/18,12:45:31,3984.00,56,55,56,56,1.3,56
05/13/18,12:45:32,3984.00,56,54,56,56,1.3,56
05/13/18,12:45:33,3984.00,61,58,61,60,3.2,56
05/13/18,12:45:34,3984.00,61,83,60,62,3.6,55
05/13/18,12:45:36,3984.00,81,63,69,82,6.7,56
05/13/18,12:45:36,3984.00,89,64,71,65,6.3,57
05/13/18,12:45:37,3984.00,83,66,70,85,6.2,56
05/13/18,12:45:39,3984.00,66,85,67,90,6.3,56
05/13/18,12:45:39,3984.00,67,64,67,65,6.2,56
05/13/18,12:45:40,3984.00,64,62,64,64,2.7,59
05/13/18,12:45:41,3984.00,66,65,66,67,2.7,60
05/13/18,12:45:42,3984.00,64,62,64,64,4.0,62
05/13/18,12:45:43,3984.00,63,61,63,63,2.4,62
05/13/18,12:45:44,3984.00,64,62,64,64,2.1,62
05/13/18,12:45:45,3984.00,64,62,64,64,2.1,62
05/13/18,12:45:46,3984.00,64,65,64,63,2.0,62
05/13/18,12:45:47,3984.00,63,64,62,64,2.5,62
05/13/18,12:45:48,3984.00,85,65,84,66,3.0,59
05/13/18,12:45:49,3984.00,66,67,66,82,3.6,59
05/13/18,12:45:50,3984.00,79,69,72,79,7.5,61
05/13/18,12:45:51,3984.00,71,67,73,78,6.2,64
05/13/18,12:45:52,3984.00,67,64,66,65,4.6,65
05/13/18,12:45:53,3984.00,67,63,66,64,2.7,65
05/13/18,12:45:54,3984.00,65,63,66,65,2.4,65
05/13/18,12:45:55,3984.00,66,63,66,66,2.1,65
05/13/18,12:45:56,3984.00,68,65,66,66,2.2,66
05/13/18,12:45:57,3984.00,65,63,65,64,2.6,66
05/13/18,12:45:58,3984.00,68,65,66,66,2.2,66
05/13/18,12:45:59,3984.00,67,64,66,66,2.4,66
05/13/18,12:46:00,3984.00,68,65,67,66,3.3,64
05/13/18,12:46:01,3984.00,66,64,66,65,2.8,66
05/13/18,12:46:02,3984.00,77,70,70,69,3.7,62
05/13/18,12:46:03,3984.00,67,65,67,66,3.3,65
05/13/18,12:46:04,3984.00,68,65,67,66,2.7,66
05/13/18,12:46:05,3984.00,68,64,66,66,2.5,66
05/13/18,12:46:06,3984.00,69,65,67,66,2.7,67
05/13/18,12:46:07,3984.00,68,66,67,65,2.7,67
05/13/18,12:46:08,3984.00,68,66,66,66,2.9,67
05/13/18,12:46:09,3984.00,68,67,67,66,2.7,67
05/13/18,12:46:10,3984.00,67,66,66,66,2.6,67
05/13/18,12:46:11,3984.00,69,66,67,67,2.6,67
05/13/18,12:46:12,3984.00,69,67,67,67,2.8,67
05/13/18,12:46:13,3984.00,68,65,67,67,2.5,67
05/13/18,12:46:14,3984.00,70,68,68,67,2.5,67
05/13/18,12:46:15,3984.00,69,67,67,66,2.5,67
05/13/18,12:46:16,3984.00,69,66,67,67,2.7,67
05/13/18,12:46:17,3984.00,69,66,67,67,2.7,67
05/13/18,12:46:18,3984.00,69,66,67,67,2.7,68
05/13/18,12:46:19,3984.00,69,66,67,67,2.5,68
05/13/18,12:46:20,3984.00,67,66,67,67,2.6,68
05/13/18,12:46:21,3984.00,68,65,67,67,2.4,68
05/13/18,12:46:22,3984.00,69,67,69,67,2.7,68
05/13/18,12:46:23,3984.00,69,66,68,67,2.5,68
05/13/18,12:46:24,3984.00,68,65,67,67,2.7,68
05/13/18,12:46:25,3984.00,70,66,68,67,2.7,68
05/13/18,12:46:26,3984.00,70,67,68,67,2.6,68
05/13/18,12:46:27,3984.00,70,67,68,67,2.4,68
05/13/18,12:46:28,3984.00,72,68,69,67,2.6,68
05/13/18,12:46:29,3984.00,69,67,67,68,2.6,68
05/13/18,12:46:30,3984.00,70,67,68,67,2.5,68
05/13/18,12:46:31,3984.00,69,67,68,67,2.6,68
05/13/18,12:46:32,3984.00,69,67,68,67,2.6,68
05/13/18,12:46:33,3984.00,72,67,68,67,2.8,68
05/13/18,12:46:34,3984.00,70,67,69,67,2.5,68
05/13/18,12:46:35,3984.00,69,66,68,67,2.7,68
05/13/18,12:46:36,3984.00,69,66,67,67,2.5,68
05/13/18,12:46:37,3984.00,68,65,67,66,2.9,69
05/13/18,12:46:38,3984.00,68,66,67,67,3.1,68
05/13/18,12:46:39,3984.00,67,65,66,65,2.9,68
05/13/18,12:46:40,3984.00,66,65,66,66,2.9,68
05/13/18,12:46:41,3984.00,67,65,66,66,3.0,68
05/13/18,12:46:42,3983.99,66,65,66,66,3.1,68
05/13/18,12:46:43,3983.99,66,65,66,66,3.0,68
05/13/18,12:46:44,3983.99,66,64,66,65,2.9,68
05/13/18,12:46:45,3983.99,67,64,66,65,3.0,68
05/13/18,12:46:46,3983.99,67,64,66,65,2.8,68
05/13/18,12:46:47,3983.99,67,64,66,65,2.9,68
05/13/18,12:46:48,3983.99,66,64,66,65,2.8,68
05/13/18,12:46:49,3983.99,66,64,66,66,2.9,68
05/13/18,12:46:50,3983.99,65,64,65,65,2.9,68
05/13/18,12:46:51,3983.99,66,64,66,65,3.1,67
05/13/18,12:46:52,3983.99,66,64,66,65,2.9,67
05/13/18,12:46:53,3983.99,66,65,66,66,3.0,67
05/13/18,12:46:54,3983.99,65,65,65,66,2.9,67
05/13/18,12:46:55,3983.99,65,63,65,65,3.0,67
05/13/18,12:46:56,3983.99,65,65,66,65,2.9,67
05/13/18,12:46:57,3983.99,65,63,65,64,2.9,67
05/13/18,12:46:58,3983.99,66,63,65,65,2.9,67
05/13/18,12:46:59,3983.99,66,64,66,65,3.0,67
05/13/18,12:47:00,3983.99,66,65,65,64,2.9,67
05/13/18,12:47:01,3984.00,66,63,65,64,2.9,67
05/13/18,12:47:02,3984.00,66,63,65,65,2.9,67
05/13/18,12:47:03,3984.00,65,63,65,65,2.8,67
05/13/18,12:47:04,3984.00,65,64,64,65,2.8,67
05/13/18,12:47:05,3984.00,66,64,64,64,3.0,67
05/13/18,12:47:06,3984.00,66,64,65,64,3.0,67
05/13/18,12:47:07,3984.00,65,63,64,65,3.0,67
05/13/18,12:47:08,3984.00,65,63,64,65,3.0,67
05/13/18,12:47:09,3984.00,65,63,66,64,3.1,67
05/13/18,12:47:10,3984.00,65,63,64,64,2.8,67
05/13/18,12:47:11,3984.00,65,63,65,64,2.8,67
05/13/18,12:47:12,3984.00,64,63,64,64,3.0,67
05/13/18,12:47:13,3984.00,65,64,65,64,2.9,67
05/13/18,12:47:14,3984.00,66,63,64,64,3.0,67
05/13/18,12:47:15,3984.00,65,63,65,64,2.7,67
05/13/18,12:47:16,3984.00,65,64,64,64,3.4,67
05/13/18,12:47:17,3984.00,66,63,65,64,3.1,67
05/13/18,12:47:18,3984.00,64,63,65,65,2.9,67
05/13/18,12:47:19,3984.00,65,63,64,64,2.9,67
05/13/18,12:47:20,3984.00,65,63,64,64,2.8,67
05/13/18,12:47:21,3984.00,65,64,64,65,2.7,67
05/13/18,12:47:22,3984.00,65,63,65,64,2.7,67
05/13/18,12:47:23,3984.00,65,63,64,65,3.0,67
05/13/18,12:47:24,3984.00,65,63,64,64,2.9,67
05/13/18,12:47:25,3984.00,64,63,64,64,2.8,67
05/13/18,12:47:26,3984.00,65,63,64,64,2.9,67
05/13/18,12:47:27,3984.00,65,63,64,65,3.0,67
05/13/18,12:47:28,3984.00,65,63,64,64,2.8,67
05/13/18,12:47:29,3984.00,65,63,65,64,2.9,67
05/13/18,12:47:30,3984.00,66,63,65,65,2.9,67
05/13/18,12:47:31,3984.00,65,63,65,65,2.7,67
05/13/18,12:47:32,3984.00,64,63,64,64,2.8,67
05/13/18,12:47:33,3984.00,66,63,66,64,2.7,67
05/13/18,12:47:34,3984.00,66,64,64,64,2.7,67
05/13/18,12:47:35,3984.00,66,63,65,64,2.8,67
05/13/18,12:47:36,3984.00,66,63,64,64,2.8,67
05/13/18,12:47:37,3984.00,65,63,64,65,2.8,67
05/13/18,12:47:38,3984.00,65,63,65,65,2.9,67
05/13/18,12:47:39,3984.00,65,64,65,64,2.8,67
05/13/18,12:47:40,3984.00,66,64,64,65,2.9,67
05/13/18,12:47:41,3984.00,65,65,65,64,2.8,67
05/13/18,12:47:42,3984.00,65,65,65,65,2.8,67
05/13/18,12:47:43,3984.00,65,63,65,65,2.8,67
05/13/18,12:47:44,3984.00,65,65,65,64,2.8,67
05/13/18,12:47:45,3984.00,65,65,65,65,2.8,67
05/13/18,12:47:46,3984.00,65,63,65,65,2.8,67
05/13/18,12:47:47,3984.00,65,66,65,65,2.8,67
05/13/18,12:47:48,3984.00,65,63,64,64,2.8,67
05/13/18,12:47:49,3984.00,65,63,64,64,2.7,67
05/13/18,12:47:50,3984.00,65,63,65,64,3.7,67
05/13/18,12:47:51,3984.00,65,63,65,65,3.0,67
05/13/18,12:47:52,3984.00,64,63,65,64,3.0,67
05/13/18,12:47:53,3984.00,65,63,64,64,2.8,67
05/13/18,12:47:54,3984.00,66,63,65,65,3.5,67
05/13/18,12:47:55,3984.00,65,63,65,64,2.9,67
05/13/18,12:47:56,3984.00,66,63,65,64,2.9,67
05/13/18,12:47:57,3984.00,65,63,64,64,2.8,67
05/13/18,12:47:58,3984.00,65,63,65,65,2.8,67
05/13/18,12:47:59,3984.00,65,63,64,64,3.1,67
05/13/18,12:48:00,3984.00,65,63,64,64,2.9,67
05/13/18,12:48:01,3984.00,66,63,64,64,2.7,67
05/13/18,12:48:02,3984.00,65,63,65,64,2.9,67
05/13/18,12:48:03,3984.00,65,63,64,64,2.7,67
05/13/18,12:48:04,3984.00,65,63,65,65,2.7,67
05/13/18,12:48:05,3984.00,65,63,64,64,2.8,67
05/13/18,12:48:06,3984.00,65,63,64,65,2.8,67
05/13/18,12:48:07,3984.00,65,64,65,64,3.1,67
05/13/18,12:48:08,3984.00,65,63,66,65,3.2,67
05/13/18,12:48:09,3984.00,65,63,65,64,3.3,67
05/13/18,12:48:10,3984.00,65,63,64,64,3.3,67
05/13/18,12:48:11,3984.00,65,63,64,64,2.9,67
05/13/18,12:48:12,3984.00,64,63,64,64,3.1,67
05/13/18,12:48:13,3984.00,65,63,64,65,3.0,67
05/13/18,12:48:14,3984.00,65,63,64,64,2.8,67
05/13/18,12:48:15,3984.00,65,63,64,64,3.1,67
05/13/18,12:48:16,3984.00,65,63,64,65,3.4,67
05/13/18,12:48:17,3984.00,65,63,64,64,2.9,67
05/13/18,12:48:18,3984.00,65,63,64,64,3.1,67
05/13/18,12:48:19,3984.00,66,63,65,64,3.0,67
05/13/18,12:48:20,3984.00,65,63,65,64,3.0,67
05/13/18,12:48:21,3984.00,65,63,64,64,2.9,67
05/13/18,12:48:22,3984.00,65,63,64,64,3.0,67
05/13/18,12:48:23,3984.00,65,63,64,64,2.9,67
05/13/18,12:48:24,3984.00,65,63,64,65,3.0,67
05/13/18,12:48:25,3984.00,66,63,64,65,3.1,67
05/13/18,12:48:26,3984.00,65,63,64,64,3.0,67
05/13/18,12:48:27,3984.00,66,63,64,64,3.0,67
05/13/18,12:48:28,3984.00,65,63,64,64,3.5,67
05/13/18,12:48:29,3984.00,65,63,64,64,3.1,67
05/13/18,12:48:30,3984.00,65,63,64,64,3.1,67
05/13/18,12:48:31,3984.00,65,63,64,64,3.1,67
05/13/18,12:48:32,3984.00,65,63,64,64,3.1,67
05/13/18,12:48:33,3984.00,64,63,64,64,2.9,67
05/13/18,12:48:34,3984.00,65,63,64,64,3.6,67
05/13/18,12:48:35,3984.00,64,63,65,65,3.1,67
05/13/18,12:48:36,3984.00,66,63,65,64,3.0,67
05/13/18,12:48:37,3984.00,65,63,64,64,3.1,67
05/13/18,12:48:38,3984.00,67,67,69,67,3.9,65
05/13/18,12:48:39,3984.00,67,66,65,67,9.6,65
05/13/18,12:48:40,3984.00,64,63,63,66,8.0,66
05/13/18,12:48:41,3984.00,65,62,64,64,7.4,66
05/13/18,12:48:42,3984.00,66,63,64,65,6.8,62
05/13/18,12:48:43,3984.00,61,60,61,62,4.5,62
05/13/18,12:48:44,3984.00,61,60,61,62,1.1,62
05/13/18,12:48:45,3984.00,62,60,60,61,1.2,62
05/13/18,12:48:46,3984.00,61,59,61,62,1.1,62
05/13/18,12:48:47,3984.00,60,58,59,60,1.0,62
05/13/18,12:48:48,3984.00,60,59,59,59,1.2,62
05/13/18,12:48:49,3984.00,58,57,58,59,0.9,62
05/13/18,12:48:50,3984.00,57,56,58,58,0.9,62
05/13/18,12:48:51,3984.00,58,56,57,57,0.9,62
05/13/18,12:48:52,3984.00,58,56,57,57,1.0,62
05/13/18,12:48:53,3984.00,57,56,57,57,0.7,62
05/13/18,12:48:54,3984.00,55,54,56,56,0.9,62
05/13/18,12:48:55,3984.00,56,54,56,56,0.9,62
05/13/18,12:48:56,3984.00,55,54,56,56,0.9,62
05/13/18,12:48:57,3984.00,54,53,56,55,0.9,62
05/13/18,12:48:58,3984.00,54,53,56,54,0.9,62
05/13/18,12:48:59,3984.00,54,52,55,54,0.9,62
05/13/18,12:49:00,3984.00,54,52,54,54,1.1,62
05/13/18,12:49:01,3984.00,53,52,54,53,1.0,62
05/13/18,12:49:02,3984.00,53,52,54,53,1.0,62
05/13/18,12:49:03,3984.00,53,51,54,53,0.8,62
05/13/18,12:49:04,3984.00,53,51,52,53,0.9,62
05/13/18,12:49:05,3984.00,52,50,52,52,1.0,62
05/13/18,12:49:06,3984.00,52,51,53,52,1.0,62
05/13/18,12:49:07,3984.00,52,49,52,52,0.8,62
05/13/18,12:49:08,3984.00,51,49,52,52,0.9,62
05/13/18,12:49:09,3984.00,52,49,51,51,1.1,62
